id,name,height,weight,hometown,signature_move,career_highlights,img_url,title,brand_id
17,"Kurt Angle",6’0”,220,"Pittsburgh, PA","Angle Slam; Ankle Lock","World Heavyweight Champion; WWE Champion; WWE Tag Team Champion; Intercontinental Champion; European Champion; Hardcore Champion; 2000 King of the Ring; SmackDown! General Manager; 2017 WWE Hall of Fame Inductee",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/04/Kurt_Angle_Pro--fbea630c97a81dc7c4d0a9717a90cb0e.png,,3
18,"Rey Mysterio",5’6”,175,"San Diego, CA",619,"WWE Champion; World Champion; 2006 Royal Rumble Match winner; Cruiserweight Champion; United States Champion; WWE Tag Team Champion; WCW Tag Team Champion; SmackDown Tag Team Champion, WCW Cruiserweight Tag Team Champion; Intercontinental Champion; 2023 WWE Hall of Fame Inductee",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/06/Rey_mysterio_PROFILE--17640312f46a0901903cf7164289c9cf.png,,2
19,"John Cena",6’1”,251,"West Newbury, MA","Attitude Adjustment; STF","WWE Champion; World Heavyweight Champion; United States Champion; World Tag Team Champion; WWE Tag Team Champion; 2012 Money in the Bank Ladder Match winner; two-time Royal Rumble Match winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/03/CENA_06272022sb_0026_updatedGear_Profile--11d6f1726dbfb1f137b72b7df3847535.png,,2
20,Edge,6’5”,241,"Toronto, Canada",Spear,"WWE Champion; World Heavyweight Champion; World Tag Team Champion; WWE Tag Team Champion; Intercontinental Champion; WCW U.S. Champion; 2001 King of the Ring; Money in the Bank Ladder Match winner; Royal Rumble Match winner (2010, 2021); 2012 WWE Hall of Fame Inductee",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2022/09/Edge_PROFILE--966f071f769cb1bb4e528d1428463f80.png,,3
21,"Charlotte Flair",5’10”,,"The Queen City","Figure-Eight Leglock; Netural Selection","SmackDown Women's Champion; Raw Women's Champion; WWE Women’s Champion; Divas Champion; 2020 Women's Royal Rumble Match winner; NXT Women's Champion, WWE Women's Tag Team Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2023/04/CharlotteFlair_01122023PB_0365_Profile--7190563facbfe218729ea64a62b877f8.png,,1
22,"Roman Reigns",6’3”,265,"Pensacola, FL","Spear; Superman Punch; Guillotine","Universal Champion; WWE Champion; Intercontinental Champion; United States Champion; WWE Tag Team Champion; 2015 Royal Rumble Match winner; 2014 Superstar of the Year Slammy Award winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/04/Roman_PROFILE--a693aaf95d89f652dd64e3f5deb115e9.png,,2
23,"Daniel Bryan",5’10”,210,"Aberdeen, WA","LeBell Lock; Running Knee; Heel Hook","WWE Champion; World Heavyweight Champion; Intercontinental Champion; United States Champion; WWE Tag Team Champion; SmackDown Tag Team Champion; 2011 SmackDown Money in the Bank winner; SmackDown Live General Manager",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2020/01/Daniel_Bryan_Pro--bfcf96f308903d00574ccf88318215f0.png,,4
24,"AJ Styles",5’11”,218,"Gainesville, GA","Phenomenal Forearm; Styles Clash; Calf Crusher","WWE Champion; United States Champion; Intercontinental Champion; Raw Tag Team Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/03/AJ_PROFILE--3dba1444cd562cc643b680cb5fdb2465.png,,2
25,"Alexa Bliss",5’1”,,"Columbus, OH","Twisted Bliss","Raw Women's Champion; SmackDown Women's Champion; WWE Women's Tag Team Champion; 2018 Women's Money in the Bank Ladder Match winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2022/05/Alexa_Bliss_Profile--185973455ed41cf1d692a71e9d124eee.png,,1
26,"Jeff Hardy",6’1”,225,"Cameron, NC","Swanton Bomb; Whisper in the Wind; Twist of Fate","WWE Champion; World Heavyweight Champion; United States Champion; Intercontinental Champion; European Champion; Hardcore Champion; Light Heavyweight Champion; World Tag Team Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; WCW Tag Team Champion;",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2020/10/JHAR_05122020jg_0020_Profile--7b1854f84d9bf46fc484c87f50d77980.png,,4
27,"Triple H",6’4”,255,"Greenwich, CT",Pedigree,"WWE Chief Operating Officer; WWE Champion; World Heavyweight Champion; Intercontinental Champion; Unified WWE Tag Team Champion; World Tag Team Champion; European Champion; 2002 and 2016 Royal Rumble Match winner; 1997 King of the Ring; 2019 WWE Hall of Fame Inductee",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2018/01/TripleH_Pro--56cf96e32ae35b75ff370574dfd29bf0.png,,3
28,Batista,6’6”,290,"Washington, D.C.","Batista Bomb","WWE Champion; World Heavyweight Champion; WWE Tag Team Champion; World Tag Team Champion; two-time Royal Rumble Match winner",https://www.wwe.com/f/styles/talent_champion_xl/public/rd-talent/Profile/Batista_pro.png,,4
29,"Mick Foley",6’2”,287,"Long Island, NY","Mandible Claw; Double Arm DDT","WWE Champion; World Tag Team Champion; Hardcore Champion; WWE Commissioner; SmackDown commentator; 2013 WWE Hall of Fame Inductee; Raw General Manager",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2017/01/Mick_Foley_pro--c1befb9f840bb7d13c0fbf682f0d4a1e.png,,3
30,"Andre The Giant",7’4”,520,"Grenoble, France","Sitdown Splash; Double Underhook Suplex","WWE Champion; World Tag Team Champion; undefeated for nearly 15 years in WWE; 1993 WWE Hall of Fame Inductee",https://www.wwe.com/f/styles/talent_champion_xl/public/rd-talent/Profile/Andre_The_Giant_pro.png,,3
31,Sheamus,6’3”,250,"Dublin, Ireland","Brogue Kick; Cloverleaf; Irish Curse Backbreaker; White Noise","WWE Champion; World Heavyweight Champion; United States Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; 2010 King of the Ring; 2012 Royal Rumble Match winner; 2015 Money in the Bank Contract winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2021/08/69640_Sheamus_12202019rf_056_Profile--e78f54cfb27b1ded3e1663a36ddc3175.png,,1
32,"Kofi Kingston",6’0”,212,"Ghana, West Africa","Trouble in Paradise","WWE Champion; Intercontinental Champion; World Tag Team Champion; United States Champion; WWE Tag Team Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; NXT Tag Team Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2021/02/KOFI_10192020jg_0068_Profile--f57d753bfd0b4ab98952d563c12df0bd.png,,1
33,"Ausin Theory",6’1”,220,"Atlanta, Georgia","A-Town Down","United States Champion; 2022 Men's Money in the Bank Ladder Match winner, SmackDown Tag Team Champion with Grayson Waller",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2022/07/Theory_PROFILE--b8f13b2a5825ec980ce97a2f05cbf3b2.png,,2
34,"Bron Breakker",6’0”,230,"Woodstock, Ga.",Spear,"NXT Champion, 2024 Dusty Rhodes Tag Team Classic winner (with Baron Corbin), NXT Tag Team Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2023/07/Bron_07182023ej_0833_profile--dc5597071af45f8f40696aa81ff5f0fa.png,,1
35,Otis,5’10”,330,"Superior, Wis.",Compactor,"2020 Men's Money in the Bank Ladder Match winner; Raw Tag Team Championship",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2023/04/Otis_PROFILE--170b5e9c61397baa6b73480340fc79c3.png,,1
36,"Bobby Lashley",6’3”,265,"Colorado Springs, Colo.","Hurt Lock; Spear","WWE Champion; Intercontinental Champion; United States Champion; ECW Champion; 2023 Andre the Giant Memorial Battle Royal Winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2022/10/Bobby_Lashley_PROFILE--13359ab20042eb81aafab6c8ed280183.png,,2
37,"Kevin Owens",6’0”,266,"Marieville, Quebec, Canada","Pop-up Powerbomb; Stunner","Universal Champion; Undisputed WWE Tag Team Champion; United States Champion; Intercontinental Champion; NXT Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2022/09/Kevin_OWens_PROFILE--05fe489008b716e22e4d0abeba8b4939.png,,2
38,"Xavier Woods",5’11”,215,"Atlanta, Georgia","Honor Roll; Lost in the Woods; Midnight Hour","2021 King of the Ring Tournament winner; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion; NXT Tag Team Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2018/03/Xavi_Pro--11bd21a3f24330f0667e2c0b476f3aaa.png,,1
39,"Shawn Michaels",6’1”,225,"San Antonio, Texas","Sweet Chin Music","WWE Champion; World Heavyweight Champion; Intercontinental Champion; European Champion; World Tag Team Champion; Royal Rumble Match winner (1995 & 1996); Two-time WWE Hall of Fame Inductee (Class of 2011 & 2019)",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2018/10/Shawn_Michaels_Pro--d4bc7c99be4fcec510501f5e7d25bde7.png,,3
40,"LA Knight",6’1”,229,"Los Angles, CA",BFT,"Million Dollar Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2022/11/LA_Knight_PROFILE--a171170c728eef7fe7f0f21629d0eb7f.png,,2
41,"Drew Mcintyre",6’5”,265,"Ayr, Scotland","Claymore; Glasgow Kiss","WWE Champion; World Heavyweight Champion; 2020 Men's Royal Rumble Match winner; Intercontinental Champion; WWE Tag Team Champion; Raw Tag Team Champion; NXT Champion; Raw's Gold Medal of Excellence",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2021/09/Drew_Mcintyre_Profile--aca391095fe74e721e098cadc93571d3.png,,1
42,"Sasha Banks",5’5”,,"Boston, MA","Bank Statment","SmackDown Women's Champion; Raw Women’s Champion; WWE Women's Champion; WWE Women's Tag Team Champion; NXT Women's Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2021/09/Sasha_Banks_Pro--6e2411e37d7224354f475d15d3e47fb0.png,,4
43,"Brock Lesnar",6’3”,286,Minneapolis,"F-5; Kimura Lock","Universal Champion; WWE Champion; 2019 Men's Money in the Bank Ladder Match winner; 2002 King of the Ring; Royal Rumble Match winner (2003, 2022); Broke The Undertaker's WrestleMania Streak",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2021/09/Brock_Lesnar_09102021rf_056_Profile--c2d758d7cd3478c2aaa0fe79120b673e.png,,4
44,"Rhea Ripley",5’7”,,"Adelaide, South Australia","Riptide; Prism Trap","Women's World Champion; SmackDown Women's Champion; Raw Women's Champion; Royal Rumble Winner, WWE Women's Tag Team Champion; First-ever NXT UK Women's Champion; NXT Women's Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/07/RheaRipley_01292024RF_10886_Profile--5c3f0cc61fb48c8569da48728aee05e4.png,,1
