id,name,img_url,current_holder,years_active,header_url
1,"WWE Championship",https://www.wwe.com/f/styles/wwe_16_9_l/public/all/2024/04/TITLE_04192023gd_0062_Fin--b4ea60da7626c3ce7fe770d2f0955917.png,2,1963-PRESENT,https://www.wwe.com/f/styles/wwe_16_9_full/public/2016/03/WWE_World_Heavyweight_Championship_Montage_0--4aea31a7044349288fadce75c9ddd5a3.jpg
2,"World Heavyweight Championship",https://www.wwe.com/f/styles/wwe_16_9_l/public/all/2023/05/WWE_World_Championship--3f7deec341d4257875929ee8ab140834.png,3,2023-PRESENT,https://www.wwe.com/f/styles/wwe_16_9_full/public/all/2024/06/NXT_UK_WorldHeavyweight_Championship--1ee7b8efb02b59e92c75a43c1f4d138f.jpg
3,"Women's World Championship",https://www.wwe.com/f/styles/wwe_16_9_l/public/all/2023/06/TITLE_04212023gd_0006_Fin--39727c5972135200bd8983992c1424e3.png,4,2016-PRESENT,https://www.wwe.com/f/styles/wwe_16_9_full/public/all/2023/04/20230428_Womens_SDChampionship_Header--3a6495f31bffbed91439fee01e12e516.jpg
