id,name,img_url,brand_header
1,Raw,https://www.wwe.com/f/styles/wwe_show_logo_l/public/all/2022/06/RAW-Logo--7d5dc4d69611241d54973979bdae1d32.png,https://www.wwe.com/f/styles/shows_hub_premier_hero/public/all/2024/05/20240503_RAW_ShowHub--55045c5074126f026f4ef460118f80c3.jpg
2,Smackdown,https://www.wwe.com/f/styles/wwe_show_logo_l/public/all/2019/10/SmackDown_2019_Vert_White--dfb28435b27ecf12e75406176c168c6a.png,https://www.wwe.com/f/styles/shows_hub_premier_hero/public/all/2024/05/20240503_SD_ShowHub--b12169ec5e6d771d41553f4d2bc8d842.jpg
3,"Hall of Fame",https://www.wwe.com/f/styles/wwe_show_logo_network_l/public/all/2019/03/HallOfFame_2019--2abc07334db4d339fbf4fd06f740fe53.png,NULL
4,Alumni,,NULL
